"","method","unit","AUC","method_type","dataset"
"Teo2019.309","CDK4","Fold02.Rep2",0.565414951989026,"Marker","Teo2019"
"Teo2019.310","CDK6","Fold02.Rep2",0.630754886831276,"Marker","Teo2019"
"Teo2019.311","MKI67","Fold02.Rep2",0.696041237997256,"Marker","Teo2019"
"Teo2019.312","CDKN2B","Fold02.Rep2",0.782493141289437,"Marker","Teo2019"
"Teo2019.313","hUSI","Fold03.Rep2",0.830825617283951,"hUSI","Teo2019"
"Teo2019.314","DAS","Fold03.Rep2",0.764381858710562,"Senecence Score","Teo2019"
"Teo2019.315","mSS","Fold03.Rep2",0.69636274005487,"Senecence Score","Teo2019"
"Teo2019.316","DAS+mSS","Fold03.Rep2",0.786854852537723,"Senecence Score","Teo2019"
"Teo2019.317","lassoCS","Fold03.Rep2",0.466681670096022,"Senecence Score","Teo2019"
"Teo2019.318","CSS","Fold03.Rep2",0.522740912208505,"Senecence Score","Teo2019"
"Teo2019.319","SenMayo","Fold03.Rep2",0.863404492455418,"Gene set","Teo2019"
"Teo2019.320","CellAge","Fold03.Rep2",0.575638717421125,"Gene set","Teo2019"
"Teo2019.321","GenAge","Fold03.Rep2",0.635459533607682,"Gene set","Teo2019"
"Teo2019.322","ASIG","Fold03.Rep2",0.728930898491084,"Gene set","Teo2019"
"Teo2019.323","SASP","Fold03.Rep2",0.715234910836763,"Gene set","Teo2019"
"Teo2019.324","AgingAtlas","Fold03.Rep2",0.750535836762689,"Gene set","Teo2019"
"Teo2019.325","SenUp","Fold03.Rep2",0.753236454046639,"Gene set","Teo2019"
"Teo2019.326","SigRS","Fold03.Rep2",0.797989540466392,"Gene set","Teo2019"
"Teo2019.327","GLB1","Fold03.Rep2",0.539930555555556,"Marker","Teo2019"
"Teo2019.328","TP53","Fold03.Rep2",0.518775720164609,"Marker","Teo2019"
"Teo2019.329","CDKN1A","Fold03.Rep2",0.700456532921811,"Marker","Teo2019"
"Teo2019.330","CDKN2A","Fold03.Rep2",0.719039351851852,"Marker","Teo2019"
"Teo2019.331","LMNB1","Fold03.Rep2",0.374014060356653,"Marker","Teo2019"
"Teo2019.332","IL1A","Fold03.Rep2",0.564729080932785,"Marker","Teo2019"
"Teo2019.333","RB1","Fold03.Rep2",0.470486111111111,"Marker","Teo2019"
"Teo2019.334","CDK1","Fold03.Rep2",0.369641632373114,"Marker","Teo2019"
"Teo2019.335","CDK4","Fold03.Rep2",0.562992969821673,"Marker","Teo2019"
"Teo2019.336","CDK6","Fold03.Rep2",0.640132030178326,"Marker","Teo2019"
"Teo2019.337","MKI67","Fold03.Rep2",0.696394890260631,"Marker","Teo2019"
"Teo2019.338","CDKN2B","Fold03.Rep2",0.773716135116598,"Marker","Teo2019"
"Teo2019.339","hUSI","Fold04.Rep2",0.8258530521262,"hUSI","Teo2019"
"Teo2019.340","DAS","Fold04.Rep2",0.76741469478738,"Senecence Score","Teo2019"
"Teo2019.341","mSS","Fold04.Rep2",0.683770576131687,"Senecence Score","Teo2019"
"Teo2019.342","DAS+mSS","Fold04.Rep2",0.785804612482853,"Senecence Score","Teo2019"
"Teo2019.343","lassoCS","Fold04.Rep2",0.477666323731139,"Senecence Score","Teo2019"
"Teo2019.344","CSS","Fold04.Rep2",0.522226508916324,"Senecence Score","Teo2019"
"Teo2019.345","SenMayo","Fold04.Rep2",0.870456104252401,"Gene set","Teo2019"
"Teo2019.346","CellAge","Fold04.Rep2",0.569465877914952,"Gene set","Teo2019"
"Teo2019.347","GenAge","Fold04.Rep2",0.632030178326475,"Gene set","Teo2019"
"Teo2019.348","ASIG","Fold04.Rep2",0.728888031550069,"Gene set","Teo2019"
"Teo2019.349","SASP","Fold04.Rep2",0.728737997256516,"Gene set","Teo2019"
"Teo2019.350","AgingAtlas","Fold04.Rep2",0.755529835390947,"Gene set","Teo2019"
"Teo2019.351","SenUp","Fold04.Rep2",0.754222393689986,"Gene set","Teo2019"
"Teo2019.352","SigRS","Fold04.Rep2",0.797475137174211,"Gene set","Teo2019"
"Teo2019.353","GLB1","Fold04.Rep2",0.535333076131687,"Marker","Teo2019"
"Teo2019.354","TP53","Fold04.Rep2",0.492048182441701,"Marker","Teo2019"
"Teo2019.355","CDKN1A","Fold04.Rep2",0.698291752400549,"Marker","Teo2019"
"Teo2019.356","CDKN2A","Fold04.Rep2",0.706929441015089,"Marker","Teo2019"
"Teo2019.357","LMNB1","Fold04.Rep2",0.375203617969822,"Marker","Teo2019"
"Teo2019.358","IL1A","Fold04.Rep2",0.55778463648834,"Marker","Teo2019"
"Teo2019.359","RB1","Fold04.Rep2",0.47843792866941,"Marker","Teo2019"
"Teo2019.360","CDK1","Fold04.Rep2",0.359246399176955,"Marker","Teo2019"
"Teo2019.361","CDK4","Fold04.Rep2",0.568651406035665,"Marker","Teo2019"
"Teo2019.362","CDK6","Fold04.Rep2",0.61914866255144,"Marker","Teo2019"
"Teo2019.363","MKI67","Fold04.Rep2",0.694787379972565,"Marker","Teo2019"
"Teo2019.364","CDKN2B","Fold04.Rep2",0.772355109739369,"Marker","Teo2019"
"Teo2019.365","hUSI","Fold05.Rep2",0.828853737997256,"hUSI","Teo2019"
"Teo2019.366","DAS","Fold05.Rep2",0.776084533607682,"Senecence Score","Teo2019"
"Teo2019.367","mSS","Fold05.Rep2",0.682377400548697,"Senecence Score","Teo2019"
"Teo2019.368","DAS+mSS","Fold05.Rep2",0.789094650205761,"Senecence Score","Teo2019"
"Teo2019.369","lassoCS","Fold05.Rep2",0.499967849794239,"Senecence Score","Teo2019"
"Teo2019.370","CSS","Fold05.Rep2",0.531914437585734,"Senecence Score","Teo2019"
"Teo2019.371","SenMayo","Fold05.Rep2",0.859010631001372,"Gene set","Teo2019"
"Teo2019.372","CellAge","Fold05.Rep2",0.587620027434842,"Gene set","Teo2019"
"Teo2019.373","GenAge","Fold05.Rep2",0.648233882030178,"Gene set","Teo2019"
"Teo2019.374","ASIG","Fold05.Rep2",0.735468106995885,"Gene set","Teo2019"
"Teo2019.375","SASP","Fold05.Rep2",0.721322016460905,"Gene set","Teo2019"
"Teo2019.376","AgingAtlas","Fold05.Rep2",0.769590192043896,"Gene set","Teo2019"
"Teo2019.377","SenUp","Fold05.Rep2",0.764296124828532,"Gene set","Teo2019"
"Teo2019.378","SigRS","Fold05.Rep2",0.800390089163237,"Gene set","Teo2019"
"Teo2019.379","GLB1","Fold05.Rep2",0.544710219478738,"Marker","Teo2019"
"Teo2019.380","TP53","Fold05.Rep2",0.533093278463649,"Marker","Teo2019"
"Teo2019.381","CDKN1A","Fold05.Rep2",0.700831618655693,"Marker","Teo2019"
"Teo2019.382","CDKN2A","Fold05.Rep2",0.710433813443073,"Marker","Teo2019"
"Teo2019.383","LMNB1","Fold05.Rep2",0.369663065843621,"Marker","Teo2019"
"Teo2019.384","IL1A","Fold05.Rep2",0.564750514403292,"Marker","Teo2019"
"Teo2019.385","RB1","Fold05.Rep2",0.465138460219479,"Marker","Teo2019"
"Teo2019.386","CDK1","Fold05.Rep2",0.365183470507545,"Marker","Teo2019"
"Teo2019.387","CDK4","Fold05.Rep2",0.550165037722908,"Marker","Teo2019"
"Teo2019.388","CDK6","Fold05.Rep2",0.642253943758573,"Marker","Teo2019"
"Teo2019.389","MKI67","Fold05.Rep2",0.697766632373114,"Marker","Teo2019"
"Teo2019.390","CDKN2B","Fold05.Rep2",0.77946030521262,"Marker","Teo2019"
"Teo2019.391","hUSI","Fold06.Rep2",0.824395576131687,"hUSI","Teo2019"
"Teo2019.392","DAS","Fold06.Rep2",0.76732896090535,"Senecence Score","Teo2019"
"Teo2019.393","mSS","Fold06.Rep2",0.695644718792867,"Senecence Score","Teo2019"
"Teo2019.394","DAS+mSS","Fold06.Rep2",0.789694787379973,"Senecence Score","Teo2019"
"Teo2019.395","lassoCS","Fold06.Rep2",0.502475565843621,"Senecence Score","Teo2019"
"Teo2019.396","CSS","Fold06.Rep2",0.524937842935528,"Senecence Score","Teo2019"
"Teo2019.397","SenMayo","Fold06.Rep2",0.85946073388203,"Gene set","Teo2019"
"Teo2019.398","CellAge","Fold06.Rep2",0.57568158436214,"Gene set","Teo2019"
"Teo2019.399","GenAge","Fold06.Rep2",0.63468792866941,"Gene set","Teo2019"
"Teo2019.400","ASIG","Fold06.Rep2",0.725265775034294,"Gene set","Teo2019"
"Teo2019.401","SASP","Fold06.Rep2",0.711205418381344,"Gene set","Teo2019"
"Teo2019.402","AgingAtlas","Fold06.Rep2",0.756215706447188,"Gene set","Teo2019"
"Teo2019.403","SenUp","Fold06.Rep2",0.751264574759945,"Gene set","Teo2019"
"Teo2019.404","SigRS","Fold06.Rep2",0.793874314128944,"Gene set","Teo2019"
"Teo2019.405","GLB1","Fold06.Rep2",0.543895747599451,"Marker","Teo2019"
"Teo2019.406","TP53","Fold06.Rep2",0.518582818930041,"Marker","Teo2019"
"Teo2019.407","CDKN1A","Fold06.Rep2",0.697948816872428,"Marker","Teo2019"
"Teo2019.408","CDKN2A","Fold06.Rep2",0.710873199588477,"Marker","Teo2019"
"Teo2019.409","LMNB1","Fold06.Rep2",0.370959790809328,"Marker","Teo2019"
"Teo2019.410","IL1A","Fold06.Rep2",0.562349965706447,"Marker","Teo2019"
"Teo2019.411","RB1","Fold06.Rep2",0.474965706447188,"Marker","Teo2019"
"Teo2019.412","CDK1","Fold06.Rep2",0.370402520576132,"Marker","Teo2019"
"Teo2019.413","CDK4","Fold06.Rep2",0.584137088477366,"Marker","Teo2019"
"Teo2019.414","CDK6","Fold06.Rep2",0.636841992455418,"Marker","Teo2019"
"Teo2019.415","MKI67","Fold06.Rep2",0.684027777777778,"Marker","Teo2019"
"Teo2019.416","CDKN2B","Fold06.Rep2",0.776341735253772,"Marker","Teo2019"
"Teo2019.417","hUSI","Fold07.Rep2",0.831189986282579,"hUSI","Teo2019"
"Teo2019.418","DAS","Fold07.Rep2",0.767146776406036,"Senecence Score","Teo2019"
"Teo2019.419","mSS","Fold07.Rep2",0.693565672153635,"Senecence Score","Teo2019"
"Teo2019.420","DAS+mSS","Fold07.Rep2",0.791956018518518,"Senecence Score","Teo2019"
"Teo2019.421","lassoCS","Fold07.Rep2",0.479413151577503,"Senecence Score","Teo2019"
"Teo2019.422","CSS","Fold07.Rep2",0.519568758573388,"Senecence Score","Teo2019"
"Teo2019.423","SenMayo","Fold07.Rep2",0.860961076817558,"Gene set","Teo2019"
"Teo2019.424","CellAge","Fold07.Rep2",0.55630572702332,"Gene set","Teo2019"
"Teo2019.425","GenAge","Fold07.Rep2",0.628536522633745,"Gene set","Teo2019"
"Teo2019.426","ASIG","Fold07.Rep2",0.71622085048011,"Gene set","Teo2019"
"Teo2019.427","SASP","Fold07.Rep2",0.71412037037037,"Gene set","Teo2019"
"Teo2019.428","AgingAtlas","Fold07.Rep2",0.754115226337449,"Gene set","Teo2019"
"Teo2019.429","SenUp","Fold07.Rep2",0.761831275720165,"Gene set","Teo2019"
"Teo2019.430","SigRS","Fold07.Rep2",0.787422839506173,"Gene set","Teo2019"
"Teo2019.431","GLB1","Fold07.Rep2",0.547893089849108,"Marker","Teo2019"
"Teo2019.432","TP53","Fold07.Rep2",0.524927126200274,"Marker","Teo2019"
"Teo2019.433","CDKN1A","Fold07.Rep2",0.708997770919067,"Marker","Teo2019"
"Teo2019.434","CDKN2A","Fold07.Rep2",0.713970336076818,"Marker","Teo2019"
"Teo2019.435","LMNB1","Fold07.Rep2",0.368055555555556,"Marker","Teo2019"
"Teo2019.436","IL1A","Fold07.Rep2",0.569562328532236,"Marker","Teo2019"
"Teo2019.437","RB1","Fold07.Rep2",0.464741941015089,"Marker","Teo2019"
"Teo2019.438","CDK1","Fold07.Rep2",0.359482167352538,"Marker","Teo2019"
"Teo2019.439","CDK4","Fold07.Rep2",0.559563614540466,"Marker","Teo2019"
"Teo2019.440","CDK6","Fold07.Rep2",0.629008058984911,"Marker","Teo2019"
"Teo2019.441","MKI67","Fold07.Rep2",0.690093449931413,"Marker","Teo2019"
"Teo2019.442","CDKN2B","Fold07.Rep2",0.778292181069959,"Marker","Teo2019"
"Teo2019.443","hUSI","Fold08.Rep2",0.813743141289438,"hUSI","Teo2019"
"Teo2019.444","DAS","Fold08.Rep2",0.757994684499314,"Senecence Score","Teo2019"
"Teo2019.445","mSS","Fold08.Rep2",0.680652006172839,"Senecence Score","Teo2019"
"Teo2019.446","DAS+mSS","Fold08.Rep2",0.777370541838134,"Senecence Score","Teo2019"
"Teo2019.447","lassoCS","Fold08.Rep2",0.506847993827161,"Senecence Score","Teo2019"
"Teo2019.448","CSS","Fold08.Rep2",0.522526577503429,"Senecence Score","Teo2019"
"Teo2019.449","SenMayo","Fold08.Rep2",0.859696502057613,"Gene set","Teo2019"
"Teo2019.450","CellAge","Fold08.Rep2",0.570044581618656,"Gene set","Teo2019"
"Teo2019.451","GenAge","Fold08.Rep2",0.637881515775034,"Gene set","Teo2019"
"Teo2019.452","ASIG","Fold08.Rep2",0.714849108367627,"Gene set","Teo2019"
"Teo2019.453","SASP","Fold08.Rep2",0.714763374485597,"Gene set","Teo2019"
"Teo2019.454","AgingAtlas","Fold08.Rep2",0.751607510288066,"Gene set","Teo2019"
"Teo2019.455","SenUp","Fold08.Rep2",0.737975823045268,"Gene set","Teo2019"
"Teo2019.456","SigRS","Fold08.Rep2",0.783221879286694,"Gene set","Teo2019"
"Teo2019.457","GLB1","Fold08.Rep2",0.539876971879287,"Marker","Teo2019"
"Teo2019.458","TP53","Fold08.Rep2",0.524123371056241,"Marker","Teo2019"
"Teo2019.459","CDKN1A","Fold08.Rep2",0.70622213648834,"Marker","Teo2019"
"Teo2019.460","CDKN2A","Fold08.Rep2",0.70718664266118,"Marker","Teo2019"
"Teo2019.461","LMNB1","Fold08.Rep2",0.380819187242798,"Marker","Teo2019"
"Teo2019.462","IL1A","Fold08.Rep2",0.557848936899863,"Marker","Teo2019"
"Teo2019.463","RB1","Fold08.Rep2",0.495927640603567,"Marker","Teo2019"
"Teo2019.464","CDK1","Fold08.Rep2",0.369620198902606,"Marker","Teo2019"
"Teo2019.465","CDK4","Fold08.Rep2",0.584383573388203,"Marker","Teo2019"
"Teo2019.466","CDK6","Fold08.Rep2",0.626200274348423,"Marker","Teo2019"
"Teo2019.467","MKI67","Fold08.Rep2",0.683363340192044,"Marker","Teo2019"
"Teo2019.468","CDKN2B","Fold08.Rep2",0.765260631001372,"Marker","Teo2019"
"Teo2019.469","hUSI","Fold09.Rep2",0.822830932784636,"hUSI","Teo2019"
"Teo2019.470","DAS","Fold09.Rep2",0.768507801783265,"Senecence Score","Teo2019"
"Teo2019.471","mSS","Fold09.Rep2",0.690907921810699,"Senecence Score","Teo2019"
"Teo2019.472","DAS+mSS","Fold09.Rep2",0.786351165980796,"Senecence Score","Teo2019"
"Teo2019.473","lassoCS","Fold09.Rep2",0.486754115226337,"Senecence Score","Teo2019"
"Teo2019.474","CSS","Fold09.Rep2",0.526513203017833,"Senecence Score","Teo2019"
"Teo2019.475","SenMayo","Fold09.Rep2",0.857231652949246,"Gene set","Teo2019"
"Teo2019.476","CellAge","Fold09.Rep2",0.575745884773663,"Gene set","Teo2019"
"Teo2019.477","GenAge","Fold09.Rep2",0.631515775034294,"Gene set","Teo2019"
"Teo2019.478","ASIG","Fold09.Rep2",0.723315329218107,"Gene set","Teo2019"
"Teo2019.479","SASP","Fold09.Rep2",0.719221536351166,"Gene set","Teo2019"
"Teo2019.480","AgingAtlas","Fold09.Rep2",0.751114540466392,"Gene set","Teo2019"
"Teo2019.481","SenUp","Fold09.Rep2",0.755379801097394,"Gene set","Teo2019"
"Teo2019.482","SigRS","Fold09.Rep2",0.788344478737997,"Gene set","Teo2019"
"Teo2019.483","GLB1","Fold09.Rep2",0.539116083676269,"Marker","Teo2019"
"Teo2019.484","TP53","Fold09.Rep2",0.53019975994513,"Marker","Teo2019"
"Teo2019.485","CDKN1A","Fold09.Rep2",0.69994212962963,"Marker","Teo2019"
"Teo2019.486","CDKN2A","Fold09.Rep2",0.700606567215364,"Marker","Teo2019"
"Teo2019.487","LMNB1","Fold09.Rep2",0.373178155006859,"Marker","Teo2019"
"Teo2019.488","IL1A","Fold09.Rep2",0.562371399176955,"Marker","Teo2019"
"Teo2019.489","RB1","Fold09.Rep2",0.469607338820302,"Marker","Teo2019"
"Teo2019.490","CDK1","Fold09.Rep2",0.375664437585734,"Marker","Teo2019"
"Teo2019.491","CDK4","Fold09.Rep2",0.553272890946502,"Marker","Teo2019"
"Teo2019.492","CDK6","Fold09.Rep2",0.624399862825789,"Marker","Teo2019"
"Teo2019.493","MKI67","Fold09.Rep2",0.685078017832647,"Marker","Teo2019"
"Teo2019.494","CDKN2B","Fold09.Rep2",0.773148148148148,"Marker","Teo2019"
"Teo2019.495","hUSI","Fold10.Rep2",0.825145747599451,"hUSI","Teo2019"
"Teo2019.496","DAS","Fold10.Rep2",0.773244598765432,"Senecence Score","Teo2019"
"Teo2019.497","mSS","Fold10.Rep2",0.685678155006859,"Senecence Score","Teo2019"
"Teo2019.498","DAS+mSS","Fold10.Rep2",0.791259430727023,"Senecence Score","Teo2019"
"Teo2019.499","lassoCS","Fold10.Rep2",0.48088134430727,"Senecence Score","Teo2019"
"Teo2019.500","CSS","Fold10.Rep2",0.515700017146776,"Senecence Score","Teo2019"
"Teo2019.501","SenMayo","Fold10.Rep2",0.864454732510288,"Gene set","Teo2019"
"Teo2019.502","CellAge","Fold10.Rep2",0.573752572016461,"Gene set","Teo2019"
"Teo2019.503","GenAge","Fold10.Rep2",0.644590192043896,"Gene set","Teo2019"
"Teo2019.504","ASIG","Fold10.Rep2",0.729381001371742,"Gene set","Teo2019"
"Teo2019.505","SASP","Fold10.Rep2",0.7053969478738,"Gene set","Teo2019"
"Teo2019.506","AgingAtlas","Fold10.Rep2",0.759066358024691,"Gene set","Teo2019"
"Teo2019.507","SenUp","Fold10.Rep2",0.758487654320988,"Gene set","Teo2019"
"Teo2019.508","SigRS","Fold10.Rep2",0.797860939643347,"Gene set","Teo2019"
"Teo2019.509","GLB1","Fold10.Rep2",0.540552126200274,"Marker","Teo2019"
"Teo2019.510","TP53","Fold10.Rep2",0.521862139917695,"Marker","Teo2019"
"Teo2019.511","CDKN1A","Fold10.Rep2",0.705922067901235,"Marker","Teo2019"
"Teo2019.512","CDKN2A","Fold10.Rep2",0.701303155006859,"Marker","Teo2019"
"Teo2019.513","LMNB1","Fold10.Rep2",0.378354338134431,"Marker","Teo2019"
"Teo2019.514","IL1A","Fold10.Rep2",0.557848936899863,"Marker","Teo2019"
"Teo2019.515","RB1","Fold10.Rep2",0.481438614540466,"Marker","Teo2019"
"Teo2019.516","CDK1","Fold10.Rep2",0.372342249657064,"Marker","Teo2019"
"Teo2019.517","CDK4","Fold10.Rep2",0.571630658436214,"Marker","Teo2019"
"Teo2019.518","CDK6","Fold10.Rep2",0.631537208504801,"Marker","Teo2019"
"Teo2019.519","MKI67","Fold10.Rep2",0.689343278463649,"Marker","Teo2019"
"Teo2019.520","CDKN2B","Fold10.Rep2",0.77107981824417,"Marker","Teo2019"
"Teo2019.521","hUSI","Fold01.Rep3",0.826688957475994,"hUSI","Teo2019"
"Teo2019.522","DAS","Fold01.Rep3",0.763535236625514,"Senecence Score","Teo2019"
"Teo2019.523","mSS","Fold01.Rep3",0.694251543209877,"Senecence Score","Teo2019"
"Teo2019.524","DAS+mSS","Fold01.Rep3",0.787551440329218,"Senecence Score","Teo2019"
"Teo2019.525","lassoCS","Fold01.Rep3",0.494513031550069,"Senecence Score","Teo2019"
"Teo2019.526","CSS","Fold01.Rep3",0.518647119341564,"Senecence Score","Teo2019"
"Teo2019.527","SenMayo","Fold01.Rep3",0.86556927297668,"Gene set","Teo2019"
"Teo2019.528","CellAge","Fold01.Rep3",0.559327846364883,"Gene set","Teo2019"
"Teo2019.529","GenAge","Fold01.Rep3",0.634280692729767,"Gene set","Teo2019"
"Teo2019.530","ASIG","Fold01.Rep3",0.720807613168724,"Gene set","Teo2019"
"Teo2019.531","SASP","Fold01.Rep3",0.719371570644719,"Gene set","Teo2019"
"Teo2019.532","AgingAtlas","Fold01.Rep3",0.754158093278464,"Gene set","Teo2019"
"Teo2019.533","SenUp","Fold01.Rep3",0.751264574759945,"Gene set","Teo2019"
"Teo2019.534","SigRS","Fold01.Rep3",0.796189128943759,"Gene set","Teo2019"
"Teo2019.535","GLB1","Fold01.Rep3",0.537819358710562,"Marker","Teo2019"
"Teo2019.536","TP53","Fold01.Rep3",0.506569358710562,"Marker","Teo2019"
"Teo2019.537","CDKN1A","Fold01.Rep3",0.721397033607682,"Marker","Teo2019"
"Teo2019.538","CDKN2A","Fold01.Rep3",0.717131772976681,"Marker","Teo2019"
"Teo2019.539","LMNB1","Fold01.Rep3",0.377979252400549,"Marker","Teo2019"
"Teo2019.540","IL1A","Fold01.Rep3",0.562478566529492,"Marker","Teo2019"
"Teo2019.541","RB1","Fold01.Rep3",0.4721579218107,"Marker","Teo2019"
"Teo2019.542","CDK1","Fold01.Rep3",0.369470164609053,"Marker","Teo2019"
"Teo2019.543","CDK4","Fold01.Rep3",0.5680405521262,"Marker","Teo2019"
"Teo2019.544","CDK6","Fold01.Rep3",0.63460219478738,"Marker","Teo2019"
"Teo2019.545","MKI67","Fold01.Rep3",0.696384173525377,"Marker","Teo2019"
"Teo2019.546","CDKN2B","Fold01.Rep3",0.778034979423868,"Marker","Teo2019"
"Teo2019.547","hUSI","Fold02.Rep3",0.839077503429355,"hUSI","Teo2019"
"Teo2019.548","DAS","Fold02.Rep3",0.778613683127572,"Senecence Score","Teo2019"
"Teo2019.549","mSS","Fold02.Rep3",0.69491598079561,"Senecence Score","Teo2019"
"Teo2019.550","DAS+mSS","Fold02.Rep3",0.797228652263374,"Senecence Score","Teo2019"
"Teo2019.551","lassoCS","Fold02.Rep3",0.487225651577503,"Senecence Score","Teo2019"
"Teo2019.552","CSS","Fold02.Rep3",0.516782407407407,"Senecence Score","Teo2019"
"Teo2019.553","SenMayo","Fold02.Rep3",0.869127229080933,"Gene set","Teo2019"
"Teo2019.554","CellAge","Fold02.Rep3",0.574888545953361,"Gene set","Teo2019"
"Teo2019.555","GenAge","Fold02.Rep3",0.643089849108368,"Gene set","Teo2019"
"Teo2019.556","ASIG","Fold02.Rep3",0.729316700960219,"Gene set","Teo2019"
"Teo2019.557","SASP","Fold02.Rep3",0.724236968449931,"Gene set","Teo2019"
"Teo2019.558","AgingAtlas","Fold02.Rep3",0.76326731824417,"Gene set","Teo2019"
"Teo2019.559","SenUp","Fold02.Rep3",0.765132030178326,"Gene set","Teo2019"
"Teo2019.560","SigRS","Fold02.Rep3",0.796832133058985,"Gene set","Teo2019"
"Teo2019.561","GLB1","Fold02.Rep3",0.544485168038409,"Marker","Teo2019"
"Teo2019.562","TP53","Fold02.Rep3",0.537315672153635,"Marker","Teo2019"
"Teo2019.563","CDKN1A","Fold02.Rep3",0.719125085733882,"Marker","Teo2019"
"Teo2019.564","CDKN2A","Fold02.Rep3",0.712662894375857,"Marker","Teo2019"
"Teo2019.565","LMNB1","Fold02.Rep3",0.364101080246914,"Marker","Teo2019"
"Teo2019.566","IL1A","Fold02.Rep3",0.567086762688615,"Marker","Teo2019"
"Teo2019.567","RB1","Fold02.Rep3",0.462362825788752,"Marker","Teo2019"
"Teo2019.568","CDK1","Fold02.Rep3",0.360178755144033,"Marker","Teo2019"
"Teo2019.569","CDK4","Fold02.Rep3",0.557741769547325,"Marker","Teo2019"
"Teo2019.570","CDK6","Fold02.Rep3",0.630947788065844,"Marker","Teo2019"
"Teo2019.571","MKI67","Fold02.Rep3",0.701828275034294,"Marker","Teo2019"
"Teo2019.572","CDKN2B","Fold02.Rep3",0.780392661179698,"Marker","Teo2019"
"Teo2019.573","hUSI","Fold03.Rep3",0.830332647462277,"hUSI","Teo2019"
"Teo2019.574","DAS","Fold03.Rep3",0.772001457475994,"Senecence Score","Teo2019"
"Teo2019.575","mSS","Fold03.Rep3",0.682634602194787,"Senecence Score","Teo2019"
"Teo2019.576","DAS+mSS","Fold03.Rep3",0.786018947187929,"Senecence Score","Teo2019"
"Teo2019.577","lassoCS","Fold03.Rep3",0.488897462277092,"Senecence Score","Teo2019"
"Teo2019.578","CSS","Fold03.Rep3",0.52295524691358,"Senecence Score","Teo2019"
"Teo2019.579","SenMayo","Fold03.Rep3",0.871034807956104,"Gene set","Teo2019"
"Teo2019.580","CellAge","Fold03.Rep3",0.577717764060357,"Gene set","Teo2019"
"Teo2019.581","GenAge","Fold03.Rep3",0.63590963648834,"Gene set","Teo2019"
"Teo2019.582","ASIG","Fold03.Rep3",0.728373628257888,"Gene set","Teo2019"
"Teo2019.583","SASP","Fold03.Rep3",0.72258659122085,"Gene set","Teo2019"
"Teo2019.584","AgingAtlas","Fold03.Rep3",0.755058299039781,"Gene set","Teo2019"
"Teo2019.585","SenUp","Fold03.Rep3",0.766975308641975,"Gene set","Teo2019"
"Teo2019.586","SigRS","Fold03.Rep3",0.7934670781893,"Gene set","Teo2019"
"Teo2019.587","GLB1","Fold03.Rep3",0.544217249657065,"Marker","Teo2019"
"Teo2019.588","TP53","Fold03.Rep3",0.522655178326475,"Marker","Teo2019"
"Teo2019.589","CDKN1A","Fold03.Rep3",0.711580504115226,"Marker","Teo2019"
"Teo2019.590","CDKN2A","Fold03.Rep3",0.704528892318244,"Marker","Teo2019"
"Teo2019.591","LMNB1","Fold03.Rep3",0.367305384087792,"Marker","Teo2019"
"Teo2019.592","IL1A","Fold03.Rep3",0.571866426611797,"Marker","Teo2019"
"Teo2019.593","RB1","Fold03.Rep3",0.473401063100137,"Marker","Teo2019"
"Teo2019.594","CDK1","Fold03.Rep3",0.357896090534979,"Marker","Teo2019"
"Teo2019.595","CDK4","Fold03.Rep3",0.568662122770919,"Marker","Teo2019"
"Teo2019.596","CDK6","Fold03.Rep3",0.628933041838134,"Marker","Teo2019"
"Teo2019.597","MKI67","Fold03.Rep3",0.697048611111111,"Marker","Teo2019"
"Teo2019.598","CDKN2B","Fold03.Rep3",0.769761659807956,"Marker","Teo2019"
"Teo2019.599","hUSI","Fold04.Rep3",0.807827503429355,"hUSI","Teo2019"
"Teo2019.600","DAS","Fold04.Rep3",0.761724108367627,"Senecence Score","Teo2019"
"Teo2019.601","mSS","Fold04.Rep3",0.677383401920439,"Senecence Score","Teo2019"
"Teo2019.602","DAS+mSS","Fold04.Rep3",0.779010202331962,"Senecence Score","Teo2019"
"Teo2019.603","lassoCS","Fold04.Rep3",0.490901491769547,"Senecence Score","Teo2019"
"Teo2019.604","CSS","Fold04.Rep3",0.522719478737997,"Senecence Score","Teo2019"
"Teo2019.605","SenMayo","Fold04.Rep3",0.855431241426612,"Gene set","Teo2019"
"Teo2019.606","CellAge","Fold04.Rep3",0.566872427983539,"Gene set","Teo2019"
"Teo2019.607","GenAge","Fold04.Rep3",0.628965192043896,"Gene set","Teo2019"
"Teo2019.608","ASIG","Fold04.Rep3",0.713498799725652,"Gene set","Teo2019"
"Teo2019.609","SASP","Fold04.Rep3",0.702546296296296,"Gene set","Teo2019"
"Teo2019.610","AgingAtlas","Fold04.Rep3",0.745563271604938,"Gene set","Teo2019"
"Teo2019.611","SenUp","Fold04.Rep3",0.738618827160494,"Gene set","Teo2019"
"Teo2019.612","SigRS","Fold04.Rep3",0.77994255829904,"Gene set","Teo2019"
"Teo2019.613","GLB1","Fold04.Rep3",0.54289909122085,"Marker","Teo2019"
"Teo2019.614","TP53","Fold04.Rep3",0.513953189300412,"Marker","Teo2019"
"Teo2019.615","CDKN1A","Fold04.Rep3",0.687725051440329,"Marker","Teo2019"
"Teo2019.616","CDKN2A","Fold04.Rep3",0.701035236625514,"Marker","Teo2019"
